visit_date,year,weekday,account_number
2019-03-09T13:00:00Z,2019,Saturday,C0451
2019-03-09T13:00:00Z,2019,Saturday,C0452
2019-03-09T13:00:00Z,2019,Saturday,C0469
2019-03-09T13:00:00Z,2019,Saturday,C0489
2019-03-09T13:00:00Z,2019,Saturday,C0494
2019-03-09T13:00:00Z,2019,Saturday,C0498
2019-03-09T13:00:00Z,2019,Saturday,C0508
2019-03-09T13:00:00Z,2019,Saturday,C0514
2019-03-09T13:00:00Z,2019,Saturday,C0519
2019-03-09T13:00:00Z,2019,Saturday,C0530
2019-03-09T13:00:00Z,2019,Saturday,C0549
2019-03-09T13:00:00Z,2019,Saturday,C0577
2019-03-09T13:00:00Z,2019,Saturday,C0586
2019-03-09T13:00:00Z,2019,Saturday,C0607
2019-03-09T13:00:00Z,2019,Saturday,C0608
2019-03-09T13:00:00Z,2019,Saturday,C0609
2019-03-09T13:00:00Z,2019,Saturday,C0619
2019-03-09T13:00:00Z,2019,Saturday,C0623
2019-03-09T13:00:00Z,2019,Saturday,C0625
2019-03-09T13:00:00Z,2019,Saturday,C0634
2019-03-09T13:00:00Z,2019,Saturday,C0648
2019-03-09T13:00:00Z,2019,Saturday,C0660
2019-03-09T13:00:00Z,2019,Saturday,C0662
2019-03-09T13:00:00Z,2019,Saturday,C0691
2019-03-09T13:00:00Z,2019,Saturday,C0696
2019-03-09T13:00:00Z,2019,Saturday,C0697
2019-03-09T13:00:00Z,2019,Saturday,C0699
2019-03-09T13:00:00Z,2019,Saturday,C0700
2019-03-09T13:00:00Z,2019,Saturday,C0701
2019-03-09T13:00:00Z,2019,Saturday,C0711
2019-03-09T13:00:00Z,2019,Saturday,C0712
2019-03-09T13:00:00Z,2019,Saturday,C0717
2019-03-09T13:00:00Z,2019,Saturday,C0719
2019-03-12T13:00:00Z,2019,Tuesday,C0005
2019-03-12T13:00:00Z,2019,Tuesday,C0011
2019-03-12T13:00:00Z,2019,Tuesday,C0028
2019-03-12T13:00:00Z,2019,Tuesday,C0074
2019-03-12T13:00:00Z,2019,Tuesday,C0143
2019-03-12T13:00:00Z,2019,Tuesday,C0147
2019-03-12T13:00:00Z,2019,Tuesday,C0152
2019-03-12T13:00:00Z,2019,Tuesday,C0161
2019-03-12T13:00:00Z,2019,Tuesday,C0162
2019-03-12T13:00:00Z,2019,Tuesday,C0163
2019-03-12T13:00:00Z,2019,Tuesday,C0173
2019-03-12T13:00:00Z,2019,Tuesday,C0237
2019-03-12T13:00:00Z,2019,Tuesday,C0256
2019-03-12T13:00:00Z,2019,Tuesday,C0281
2019-03-12T13:00:00Z,2019,Tuesday,C0302
2019-03-12T13:00:00Z,2019,Tuesday,C0312
2019-03-12T13:00:00Z,2019,Tuesday,C0313
2019-03-12T13:00:00Z,2019,Tuesday,C0316
2019-03-12T13:00:00Z,2019,Tuesday,C0322
2019-03-12T13:00:00Z,2019,Tuesday,C0342
2019-03-12T13:00:00Z,2019,Tuesday,C0349
2019-03-12T13:00:00Z,2019,Tuesday,C0350
2019-03-12T13:00:00Z,2019,Tuesday,C0353
2019-03-12T13:00:00Z,2019,Tuesday,C0356
2019-03-12T13:00:00Z,2019,Tuesday,C0365
2019-03-12T13:00:00Z,2019,Tuesday,C0369
2019-03-12T13:00:00Z,2019,Tuesday,C0371
2019-03-12T13:00:00Z,2019,Tuesday,C0374
2019-03-12T13:00:00Z,2019,Tuesday,C0381
2019-03-12T13:00:00Z,2019,Tuesday,C0384
2019-03-12T13:00:00Z,2019,Tuesday,C0415
2019-03-12T13:00:00Z,2019,Tuesday,C0429
2019-03-12T13:00:00Z,2019,Tuesday,C0430
2019-03-12T13:00:00Z,2019,Tuesday,C0432
2019-03-12T13:00:00Z,2019,Tuesday,C0437
2019-03-12T13:00:00Z,2019,Tuesday,C0449
2019-03-12T13:00:00Z,2019,Tuesday,C0454
2019-03-12T13:00:00Z,2019,Tuesday,C0456
2019-03-12T13:00:00Z,2019,Tuesday,C0467
2019-03-12T13:00:00Z,2019,Tuesday,C0473
2019-03-12T13:00:00Z,2019,Tuesday,C0474
2019-03-12T13:00:00Z,2019,Tuesday,C0478
2019-03-12T13:00:00Z,2019,Tuesday,C0496
2019-03-12T13:00:00Z,2019,Tuesday,C0518
2019-03-12T13:00:00Z,2019,Tuesday,C0537
2019-03-12T13:00:00Z,2019,Tuesday,C0547
2019-03-12T13:00:00Z,2019,Tuesday,C0549
2019-03-12T13:00:00Z,2019,Tuesday,C0550
2019-03-12T13:00:00Z,2019,Tuesday,C0578
2019-03-12T13:00:00Z,2019,Tuesday,C0582
2019-03-12T13:00:00Z,2019,Tuesday,C0583
2019-03-12T13:00:00Z,2019,Tuesday,C0596
2019-03-12T13:00:00Z,2019,Tuesday,C0601
2019-03-12T13:00:00Z,2019,Tuesday,C0605
2019-03-12T13:00:00Z,2019,Tuesday,C0612
2019-03-12T13:00:00Z,2019,Tuesday,C0626
2019-03-12T13:00:00Z,2019,Tuesday,C0632
2019-03-12T13:00:00Z,2019,Tuesday,C0636
2019-03-12T13:00:00Z,2019,Tuesday,C0637
2019-03-12T13:00:00Z,2019,Tuesday,C0659
2019-03-12T13:00:00Z,2019,Tuesday,C0671
2019-03-12T13:00:00Z,2019,Tuesday,C0683
2019-03-12T13:00:00Z,2019,Tuesday,C0690
2019-03-12T13:00:00Z,2019,Tuesday,C0694
2019-03-12T13:00:00Z,2019,Tuesday,C0698
2019-03-12T13:00:00Z,2019,Tuesday,C0707
2019-03-12T13:00:00Z,2019,Tuesday,C0709
2019-03-12T13:00:00Z,2019,Tuesday,C0715
2019-03-12T13:00:00Z,2019,Tuesday,C0718
2019-04-13T13:00:00Z,2019,Saturday,C0404
2019-04-13T13:00:00Z,2019,Saturday,C0121
2019-04-13T13:00:00Z,2019,Saturday,C0006
2019-04-13T13:00:00Z,2019,Saturday,C0018
2019-04-13T13:00:00Z,2019,Saturday,C0026
2019-04-13T13:00:00Z,2019,Saturday,C0030
2019-04-13T13:00:00Z,2019,Saturday,C0031
2019-04-13T13:00:00Z,2019,Saturday,C0032
2019-04-13T13:00:00Z,2019,Saturday,C0033
2019-04-13T13:00:00Z,2019,Saturday,C0034
2019-04-13T13:00:00Z,2019,Saturday,C0043
2019-04-13T13:00:00Z,2019,Saturday,C0054
2019-04-13T13:00:00Z,2019,Saturday,C0058
2019-04-13T13:00:00Z,2019,Saturday,C0065
2019-04-13T13:00:00Z,2019,Saturday,C0066
2019-04-13T13:00:00Z,2019,Saturday,C0072
2019-04-13T13:00:00Z,2019,Saturday,C0073
2019-04-13T13:00:00Z,2019,Saturday,C0078
2019-04-13T13:00:00Z,2019,Saturday,C0080
